"X"	"Name"	"PClass"	"Age"	"Sex"	"Survived"	"SexCode"
754	"Dantchoff, Mr Khristo"	"3rd"	25	"male"	0	0
757	"Davies, Mr John"	"3rd"	21	"male"	0	0
762	"Dean, Mrs Bertram (Eva)"	"3rd"	33	"female"	1	1
767	"De Messemaeker, Mrs William Joseph (Anna)"	"3rd"	36	"female"	1	1
777	"Dooley, Mr Patrick"	"3rd"	32	"male"	0	0
778	"Dorkings, Mr Edward Arthur"	"3rd"	19	"male"	1	0
781	"Drapkin, Miss Jennie"	"3rd"	23	"female"	1	1
786	"Dyker, Mrs Adolf Fredrik (Anna Elizabeth Judith Andersson)"	"3rd"	22	"female"	1	1
789	"Eklund, Mr Hans Linus"	"3rd"	16	"male"	0	0
795	"Emanuel, Miss Virginia Ethel"	"3rd"	5	"female"	1	1
807	"Ford, Miss Doolina Margaret"	"3rd"	21	"female"	0	1
808	"Ford, Mr Edward Watson"	"3rd"	18	"male"	0	0
826	"Goodwin, Mrs Frederick (Augusta)"	"3rd"	43	"female"	0	1
831	"Goodwin, Master Sidney L"	"3rd"	6	"male"	0	0
832	"Goodwin, Master William F"	"3rd"	11	"male"	0	0
833	"Green, Mr George"	"3rd"	40	"male"	0	0
844	"Hakkarainen, Mr Pekko Pietari"	"3rd"	28	"male"	0	0
846	"Hampe, Mr Leon"	"3rd"	20	"male"	0	0
856	"Hedman, Mr Oscar"	"3rd"	27	"male"	1	0
867	"Hirvonen, Miss Hildur E"	"3rd"	2	"female"	0	1
873	"Humblin, Mr Adolf Mathias Nicolai Olsen"	"3rd"	42	"male"	0	0
892	"Johansson, Oscar L"	"3rd"	26	"male"	1	0
910	"Kalvig, Mr Johannes K Halverson"	"3rd"	21	"male"	0	0
911	"Karajic, Mr Milan"	"3rd"	30	"male"	0	0
912	"Karlsson, Mr Einar Gervasius"	"3rd"	21	"male"	1	0
934	"Kink, Miss Louise Gretchen"	"3rd"	4	"female"	1	1
935	"Kink, Miss Maria"	"3rd"	22	"female"	0	1
939	"Klasen, Mr Klas Albin"	"3rd"	18	"male"	0	0
941	"Krekorian, Mr Neshan"	"3rd"	25	"male"	1	0
948	"Lane, Mr Patrick"	"3rd"	20	"male"	0	0
952	"Larsson-Rondberg, Mr Edvard"	"3rd"	22	"male"	0	0
961	"Lemom, Mr Denis"	"3rd"	21	"male"	0	0
967	"Lindell, Mr Edvard Bengtsson"	"3rd"	36	"male"	0	0
1264	"Turja, Miss Anna Sofia"	"3rd"	18	"female"	1	1
1270	"Van der Planke, Miss Augusta"	"3rd"	18	"female"	0	1
1272	"Van der Planke, Mrs Jules"	"3rd"	31	"female"	0	1
1279	"Van Impe, Mrs Jean Baptiste"	"3rd"	30	"female"	0	1
1294	"Wilkes, Mrs Ellen"	"3rd"	45	"female"	1	1
1302	"Wittevrongel, Mr Camiel"	"3rd"	36	"male"	0	0
1312	"Lievens, Mr Rene"	"3rd"	24	"male"	0	0
